"","Country","Lat","Long","date","Confirmed","Recovered","Deaths"
"207","US",37.6017,-121.7195,2020-02-19,0,0,0
"208","US",37.6017,-121.7195,2020-02-02,0,0,0
"209","US",37.6017,-121.7195,2020-02-20,0,0,0
"210","US",37.6017,-121.7195,2020-02-21,0,0,0
"211","US",37.6017,-121.7195,2020-02-22,0,0,0
"212","US",37.6017,-121.7195,2020-02-23,0,0,0
"213","US",37.6017,-121.7195,2020-02-24,0,0,0
"214","US",37.6017,-121.7195,2020-02-25,0,0,0
"215","US",37.6017,-121.7195,2020-02-26,0,0,0
"216","US",37.6017,-121.7195,2020-02-27,0,0,0
"217","US",37.6017,-121.7195,2020-02-28,0,0,0
"218","US",37.6017,-121.7195,2020-02-29,0,0,0
"219","US",37.6017,-121.7195,2020-02-03,0,0,0
"220","US",37.6017,-121.7195,2020-02-04,0,0,0
"221","US",37.6017,-121.7195,2020-02-05,0,0,0
"222","US",37.6017,-121.7195,2020-02-06,0,0,0
"223","US",37.6017,-121.7195,2020-02-07,0,0,0
"224","US",37.6017,-121.7195,2020-02-08,0,0,0
"225","US",37.6017,-121.7195,2020-02-09,0,0,0
"226","US",37.6017,-121.7195,2020-03-01,0,0,0
"227","US",37.6017,-121.7195,2020-03-10,0,0,0
"228","US",37.6017,-121.7195,2020-03-11,0,0,0
"229","US",37.6017,-121.7195,2020-03-12,0,0,0
"230","US",37.6017,-121.7195,2020-03-13,0,0,0
"231","US",37.6017,-121.7195,2020-03-14,0,0,0
"232","US",37.6017,-121.7195,2020-03-15,0,0,0
"233","US",37.6017,-121.7195,2020-03-16,0,0,0
"234","US",37.6017,-121.7195,2020-03-17,0,0,0
"235","US",37.6017,-121.7195,2020-03-18,0,0,0
"236","US",37.6017,-121.7195,2020-03-19,0,0,0
"237","US",37.6017,-121.7195,2020-03-02,0,0,0
"238","US",37.6017,-121.7195,2020-03-20,0,0,0
"239","US",37.6017,-121.7195,2020-03-21,0,0,0
"240","US",37.6017,-121.7195,2020-03-22,0,0,0
"241","US",37.6017,-121.7195,2020-03-23,0,0,0
"242","US",37.6017,-121.7195,2020-03-03,1,0,0
"243","US",37.6017,-121.7195,2020-03-04,1,0,0
"244","US",37.6017,-121.7195,2020-03-05,1,0,0
"245","US",37.6017,-121.7195,2020-03-06,1,0,0
"246","US",37.6017,-121.7195,2020-03-07,2,0,0
"247","US",37.6017,-121.7195,2020-03-08,2,0,0
"248","US",37.6017,-121.7195,2020-03-09,2,0,0
"249","US",61.3707,-152.4044,2020-01-22,0,0,0
"250","US",61.3707,-152.4044,2020-01-23,0,0,0
"251","US",61.3707,-152.4044,2020-01-24,0,0,0
"252","US",61.3707,-152.4044,2020-01-25,0,0,0
"253","US",61.3707,-152.4044,2020-01-26,0,0,0
"254","US",61.3707,-152.4044,2020-01-27,0,0,0
"255","US",61.3707,-152.4044,2020-01-28,0,0,0
"256","US",61.3707,-152.4044,2020-01-29,0,0,0
"257","US",61.3707,-152.4044,2020-01-30,0,0,0
"258","US",61.3707,-152.4044,2020-01-31,0,0,0
"259","US",61.3707,-152.4044,2020-02-01,0,0,0
"260","US",61.3707,-152.4044,2020-02-10,0,0,0
"261","US",61.3707,-152.4044,2020-02-11,0,0,0
"262","US",61.3707,-152.4044,2020-02-12,0,0,0
"263","US",61.3707,-152.4044,2020-02-13,0,0,0
"264","US",61.3707,-152.4044,2020-02-14,0,0,0
"265","US",61.3707,-152.4044,2020-02-15,0,0,0
"266","US",61.3707,-152.4044,2020-02-16,0,0,0
"267","US",61.3707,-152.4044,2020-02-17,0,0,0
"268","US",61.3707,-152.4044,2020-02-18,0,0,0
"269","US",61.3707,-152.4044,2020-02-19,0,0,0
"270","US",61.3707,-152.4044,2020-02-02,0,0,0
"271","US",61.3707,-152.4044,2020-02-20,0,0,0
"272","US",61.3707,-152.4044,2020-02-21,0,0,0
"273","US",61.3707,-152.4044,2020-02-22,0,0,0
"274","US",61.3707,-152.4044,2020-02-23,0,0,0
"275","US",61.3707,-152.4044,2020-02-24,0,0,0
"276","US",61.3707,-152.4044,2020-02-25,0,0,0
"277","US",61.3707,-152.4044,2020-02-26,0,0,0
"278","US",61.3707,-152.4044,2020-02-27,0,0,0
"279","US",61.3707,-152.4044,2020-02-28,0,0,0
"280","US",61.3707,-152.4044,2020-02-29,0,0,0
"281","US",61.3707,-152.4044,2020-02-03,0,0,0
"282","US",61.3707,-152.4044,2020-02-04,0,0,0
"283","US",61.3707,-152.4044,2020-02-05,0,0,0
"284","US",61.3707,-152.4044,2020-02-06,0,0,0
"285","US",61.3707,-152.4044,2020-02-07,0,0,0
"286","US",61.3707,-152.4044,2020-02-08,0,0,0
"287","US",61.3707,-152.4044,2020-02-09,0,0,0
"288","US",61.3707,-152.4044,2020-03-01,0,0,0
"289","US",61.3707,-152.4044,2020-03-10,0,0,0
"290","US",61.3707,-152.4044,2020-03-11,0,0,0
"291","US",61.3707,-152.4044,2020-03-12,0,0,0
"292","US",61.3707,-152.4044,2020-03-13,1,0,0
"293","US",61.3707,-152.4044,2020-03-14,1,0,0
"294","US",61.3707,-152.4044,2020-03-15,1,0,0
"295","US",61.3707,-152.4044,2020-03-16,1,0,0
"296","US",61.3707,-152.4044,2020-03-17,3,0,0
"297","US",61.3707,-152.4044,2020-03-18,6,0,0
"298","US",61.3707,-152.4044,2020-03-19,9,0,0
"299","US",61.3707,-152.4044,2020-03-02,0,0,0
"300","US",61.3707,-152.4044,2020-03-20,12,0,0
"301","US",61.3707,-152.4044,2020-03-21,15,0,0
"302","US",61.3707,-152.4044,2020-03-22,21,0,0
"303","US",61.3707,-152.4044,2020-03-23,21,0,0
"304","US",61.3707,-152.4044,2020-03-03,0,0,0
"305","US",61.3707,-152.4044,2020-03-04,0,0,0
"306","US",61.3707,-152.4044,2020-03-05,0,0,0
"307","US",61.3707,-152.4044,2020-03-06,0,0,0
"308","US",61.3707,-152.4044,2020-03-07,0,0,0
"309","US",61.3707,-152.4044,2020-03-08,0,0,0
"310","US",61.3707,-152.4044,2020-03-09,0,0,0
"311","Canada",53.9333,-116.5765,2020-01-22,0,0,0
"312","Canada",53.9333,-116.5765,2020-01-23,0,0,0
"313","Canada",53.9333,-116.5765,2020-01-24,0,0,0
"314","Canada",53.9333,-116.5765,2020-01-25,0,0,0
"315","Canada",53.9333,-116.5765,2020-01-26,0,0,0
"316","Canada",53.9333,-116.5765,2020-01-27,0,0,0
"317","Canada",53.9333,-116.5765,2020-01-28,0,0,0
"318","Canada",53.9333,-116.5765,2020-01-29,0,0,0
"319","Canada",53.9333,-116.5765,2020-01-30,0,0,0
"320","Canada",53.9333,-116.5765,2020-01-31,0,0,0
"321","Canada",53.9333,-116.5765,2020-02-01,0,0,0
"322","Canada",53.9333,-116.5765,2020-02-10,0,0,0
"323","Canada",53.9333,-116.5765,2020-02-11,0,0,0
"324","Canada",53.9333,-116.5765,2020-02-12,0,0,0
"325","Canada",53.9333,-116.5765,2020-02-13,0,0,0
"326","Canada",53.9333,-116.5765,2020-02-14,0,0,0
"327","Canada",53.9333,-116.5765,2020-02-15,0,0,0
"328","Canada",53.9333,-116.5765,2020-02-16,0,0,0
"329","Canada",53.9333,-116.5765,2020-02-17,0,0,0
"330","Canada",53.9333,-116.5765,2020-02-18,0,0,0
"331","Canada",53.9333,-116.5765,2020-02-19,0,0,0
"332","Canada",53.9333,-116.5765,2020-02-02,0,0,0
"333","Canada",53.9333,-116.5765,2020-02-20,0,0,0
"334","Canada",53.9333,-116.5765,2020-02-21,0,0,0
"335","Canada",53.9333,-116.5765,2020-02-22,0,0,0
"336","Canada",53.9333,-116.5765,2020-02-23,0,0,0
"337","Canada",53.9333,-116.5765,2020-02-24,0,0,0
"338","Canada",53.9333,-116.5765,2020-02-25,0,0,0
"339","Canada",53.9333,-116.5765,2020-02-26,0,0,0
"340","Canada",53.9333,-116.5765,2020-02-27,0,0,0
"341","Canada",53.9333,-116.5765,2020-02-28,0,0,0
"342","Canada",53.9333,-116.5765,2020-02-29,0,0,0
"343","Canada",53.9333,-116.5765,2020-02-03,0,0,0
"344","Canada",53.9333,-116.5765,2020-02-04,0,0,0
"345","Canada",53.9333,-116.5765,2020-02-05,0,0,0
"346","Canada",53.9333,-116.5765,2020-02-06,0,0,0
"347","Canada",53.9333,-116.5765,2020-02-07,0,0,0
"348","Canada",53.9333,-116.5765,2020-02-08,0,0,0
"349","Canada",53.9333,-116.5765,2020-02-09,0,0,0
